,GB_Acession,Original,Access..No,Museum,Added.to.Database,Website,Family,Genus,Species,Endemic,Locality,Latitude,Longitude,SpecName
14,NA,SMG7403,384758,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659610,Brachypteraciidae,Geobiastes,squamiger,Y,Toliara,-24.62,46.75,Geobiastes_squamiger_FMNH384758_ND3
15,NA,FMNH381475,381475,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1656321,Locustellidae,Bradypterus,brunneus,Y,d'Antsiranana,-14.75,49.43,Bradypterus_brunneus_FMNH381475_ND3
16,NA,434743,434743,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1709468,Ardeidae,Butorides,striata,,Tamatave,41.85,-87.62,Butorides_striata_FMNH434743_ND3
17,NA,FMNH356654,356654,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1631472,Vangidae,Calicalicus,madagascariensis,Y,Toliara,-23,43.62,Calicalicus_madagascariensis_FMNH356654_ND3
18,NA,MJR1206,MJR1206,UADBA,8/12/24,,Caprimulgidae,Caprimulgus,enarratus,Y,Antsiranana,-15.56,50.28,Caprimulgus_enarratus_UADBAMJR1206_ND3
19,NA,SMG10949,396236,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1671085,Caprimulgidae,Caprimulgus,madagascariensis,N - SEYCHELLES,Fianarantsoa,-22.54,45.38,Caprimulgus_madagascariensis_FMNH396236_ND3
20,NA,427335,427335,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1702061,Campephagidae,Ceblepyris,cinerea,N - MAYOTTE,Fianarantsoa,-22.2,46.83,Ceblepyris_cinerea_FMNH427335_ND3
21,NA,FMNH436424,436424,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711149,Cuculidae,Centropus,toulou,N - SEYCHELLES,Toliara,-22.77,43.52,Centropus_toulou_FMNH436424_ND3
22,NA,DW4911,393444,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668293,Nectariniidae,Cinnyris,notata,N - COMOROS,Mahajanga,-14.75,49.42,Cinnyris_notata_FMNH393444_ND3
23,NA,DW4790,393425,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668274,Nectariniidae,Cinnyris,souimanga,N - WEST INDIAN ISLANDS,Antsiranana,-14.54,49.44,Cinnyris_souimanga_FMNH393425_ND3
24,NA,352929,352929,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1627746,Cisticolidae,Cisticola,cherina,N - WEST INDIAN ISLANDS,Toliara,-24,46.52,Cisticola_cherina_FMNH352929_ND3
25,NA,360050,360050,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1634868,Muscicapidae,Copsychus,albospecularis,Y,Toliara,-22,44.72,Copsychus_albospecularis_FMNH360050_ND3
26,NA,384671,384671,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659523,Psittacidae,Coracopsis,vasa,Y,Toliara,-22.45,44.83,Coracopsis_vasa_FMNH384671_ND3
27,NA,MJR1223,MJR1223,UADBA,8/12/24,,Alcedinidae,Corythornis,madagascariensis,Y,Antsiranana,15.56,50.28,Corythornis_madagascariensis_UADBAMJR1223_ND3
28,NA,MJR1277,MJR1277,UADBA,8/12/24,,Alcedinidae,Corythornis,vintsioides,N - MAYOTTE & COMOROS,,-18.25,47.57,Corythornis_vintsioides_UADBAMJR1277_ND3
29,NA,FMNH472533,472533,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1814703,Cuculidae,Coua,caerulea,Y,Farafangana,-23.08,47.75,Coua_caerulea_FMNH472533_ND3
30,NA,FMNH434632,434632,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1709357,Cuculidae,Coua,coquereli,Y,Mahajanga,-16.22,46.93,Coua_coquereli_FMNH434632_ND3
31,NA,FMNH472479,472479,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1814649,Cuculidae,Coua,cristata,Y,Mahajanga,-16.14,46.96,Coua_cristata_FMNH472479_ND3
32,NA,MJR1143,MJR1143,UADBA,8/12/24,,Cuculidae,Coua,cursor,Y,Toliara,43.74,24.03,Coua_cursor_UADBAMJR1143_ND3
33,NA,FMNH393209,393209,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668058,Cuculidae,Coua,gigas,Y,Mahajanga,-18.26,45.42,Coua_gigas_FMNH393209_ND3
34,NA,FMNH434432,434432,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1709157,Cuculidae,Coua,olivaceiceps,Y,Toliara,-24.05,43.75,Coua_olivaceiceps_FMNH434432_ND3
35,NA,MJR0893,MJR0893,UADBA,8/12/24,,Cuculidae,Coua,reynaudii,Y,,-19.04,48.35,Coua_reynaudii_UADBAMJR0893_ND3
36,NA,MJR1108,MJR1108,UADBA,8/12/24,,Cuculidae,Coua,ruficeps,Y,Toliara,-24.03,43.74,Coua_ruficeps_UADBAMJR1108_ND3
37,NA,FMNH472476,472476,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1814646,Cuculidae,Coua,verreauxi,Y,Toliara,-24.25,44.08,Coua_verreauxi_FMNH472476_ND3
38,NA,FMNH435043,435043,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1709768,Bernieridae,Crossleyia,xanthophrys,Y,Fianarantsoa,-22.16,47.04,Crossleyia_xanthophrys_FMNH435043_ND3
