"","GB_Acession","Original","Access..No","Museum","Added.to.Database","Website","Family","Genus","Species","Endemic","Locality","Latitude","Longitude","SpecName"
"52",NA,"FMNH363833","363833","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1638648","Vangidae","Hypositta","corallirostris","Y","Fianarantsoa",-22,47.02,"Hypositta_corallirostris_FMNH363833_12S"
"53",NA,"MJR1261","MJR1261","UADBA","8/12/24","","Pycnonotidae","Hypsipetes","madagascariensis","N - WEST INDIAN ISLANDS","Toamasina",15.73,49.96,"Hypsipetes_madagascariensis_UADBAMJR1261_12S"
"54",NA,"352980","352980","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1627797","Estrildidae","Lepidopygia","nana","Y","Toliara",-25,47,"Lepidopygia_nana_FMNH352980_12S"
"55",NA,"FMNH352880","352880","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1627697","Vangidae","Leptopterus","chabert","Y","Toliara",-24,46.52,"Leptopterus_chabert_FMNH352880_12S"
"56",NA,"352778","352778","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1627595","Scolopacidae","Limosa","lapponica","","Toliara",NA,NA,"Limosa_lapponica_FMNH352778_12S"
"57",NA,"345600","345600","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1598920","Threskiornithidae","Lophotibis","cristata","Y","Toliara",-24,47.02,"Lophotibis_cristata_FMNH345600_12S"
"58",NA,"431145","431145","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1705874","Rallidae","Mentocrex","beankaensis","Y","Toliara",NA,NA,"Mentocrex_beankaensis_FMNH431145_12S"
"59",NA,"352817","352817","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1627634","Meropidae","Merops","superciliosus","","Toliara",-25,47,"Merops_superciliosus_FMNH352817_12S"
"60",NA,"431139","431139","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1705868","Accipitiridae","Milvus","migrans","","Toliara",NA,NA,"Milvus_migrans_FMNH431139_12S"
"61",NA,"429330","429330","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1704059","Muscicapidae","Monticola","imerinus","Y","Mahajanga",-18.68,44.72,"Monticola_imerinus_FMNH429330_12S"
